Class,Precision,Recall,F1-Score,Support
Apple,1.0,0.9897959183673469,0.9948717948717949,294
Banana,0.9915966386554622,0.9957805907172996,0.9936842105263158,237
Burger,0.9877800407331976,0.9857723577235772,0.9867751780264497,984
Donut,1.0,0.9943883277216611,0.9971862689926843,891
Ice Cream,1.0,0.9898477157360406,0.9948979591836735,591
Pasta,1.0,0.9987373737373737,0.9993682880606444,792
Pizza,0.974937343358396,0.9889830508474576,0.9819099705511148,1180
Salad,1.0,0.9949238578680203,0.9974554707379135,197
Steak,1.0,0.9974747474747475,0.9987357774968394,396
Sushi,0.9971056439942113,0.9985507246376811,0.997827661115134,690
